Depth,Reeval_level,Time(s)
2,1,5.035320606082678
2,1,5.399421494454145
2,1,4.092268345877528
2,1,3.801297152414918
2,1,4.08679648116231
2,1,6.0959229581058025
2,1,6.376385839655995
2,1,4.788936482742429
2,1,4.078541541472077
2,1,4.820721363648772
2,1,3.8101058546453714
2,1,3.8032244201749563
2,1,2.669667549431324
2,1,3.935064312070608
2,1,3.5887401830404997
2,1,4.603971937671304
2,1,4.573712045326829
2,1,5.6171988639980555
2,1,4.564143570140004
2,1,3.87817776016891
2,1,2.412044707685709
2,1,4.828218910843134
2,1,4.0946104023605585
2,1,5.626289423555136
2,1,4.3672043811529875
2,1,5.3818319998681545
2,1,1.857603169977665
2,1,3.187258068472147
2,1,5.237773964181542
2,1,2.806539425626397
2,1,6.110728288069367
2,1,6.865235608071089
2,1,5.702700546011329
2,1,3.8304145354777575
2,1,5.933387355878949
2,1,2.766261888667941
2,1,5.56848756596446
2,1,5.677672477439046
2,1,5.946943931281567
2,1,3.509279664605856
2,1,4.802946565672755
2,1,5.650346809998155
2,1,3.539071813225746
2,1,3.648181326687336
2,1,3.1080852802842855
2,1,5.1859175860881805
2,1,6.178852988407016
2,1,6.477461298927665
2,1,5.485769666731358
2,1,6.069137971848249
2,1,5.315541256219149
2,1,3.6752741243690252
2,1,5.459006683900952
2,1,9.252136196941137
2,1,4.038233447819948
2,1,3.9792475420981646
2,1,6.396893385797739
2,1,7.495126670226455
2,1,6.3580608163028955
2,1,6.1756545547395945
2,1,5.3432881180197
2,1,4.340134713798761
2,1,4.89552253857255
2,1,6.560081463307142
2,1,2.9745281487703323
2,1,5.890925729647279
2,1,4.147787706926465
2,1,5.94072694145143
2,1,5.714973170310259
2,1,4.58727047033608
2,1,4.270700706169009
2,1,5.203770272433758
2,1,5.2314452808350325
2,1,3.162802826613188
2,1,4.009793585166335
2,1,2.8529046922922134
2,1,5.612908020615578
2,1,5.152616277337074
2,1,6.24288684874773
2,1,3.2387850377708673
2,1,4.232348948717117
2,1,6.4075156804174185
2,1,3.921232081949711
2,1,5.3494835663586855
2,1,6.96254700794816
2,1,7.684201734140515
2,1,5.460320463404059
2,1,5.81136142089963
2,1,4.4045769684016705
2,1,2.275141855701804
2,1,4.965079208835959
2,1,5.42192137427628
2,1,4.651400478556752
2,1,6.116200886666775
2,1,4.93898612447083
2,1,6.300386985763907
2,1,8.283993035554886
2,1,4.2186757903546095
2,1,6.9218904580920935
2,1,5.185451000928879
2,1,5.709619417786598
2,1,6.534253975376487
2,1,3.332152185961604
2,1,4.864278601482511
2,1,4.295000869780779
2,1,3.9880514461547136
2,1,4.813795927911997
2,1,6.035462349653244
2,1,3.1779793556779623
2,1,5.374392285943031
2,1,5.428194893524051
2,1,5.265069872140884
2,1,6.0559234246611595
2,1,2.840723680332303
2,1,2.810186017304659
2,1,6.183670902624726
2,1,3.7051879800856113
2,1,2.499051634222269
2,1,2.4340228587388992
2,1,2.860262505710125
2,1,4.2385539170354605
2,1,5.517354801297188
2,1,3.405560929328203
2,1,7.61495784111321
2,1,4.7042080126702785
2,1,3.15930868498981
2,1,3.760837472975254
2,1,2.5698594637215137
2,1,6.8263931181281805
2,1,6.845859760418534
2,1,6.158246014267206
2,1,5.287959899753332
2,1,7.283625062555075
2,1,6.694865396246314
2,1,9.10255428776145
2,1,5.14415767788887
2,1,3.684780351817608
2,1,4.272129649296403
2,1,5.033804319798946
2,1,6.001613210886717
2,1,3.739002237096429
2,1,4.791170712560415
2,1,2.4863749966025352
2,1,5.015355991199613
2,1,3.8202057760208845
2,1,4.427183207124472
2,1,4.641528120264411
2,1,6.523788444697857
2,1,3.3354083970189095
2,1,6.642231749370694
2,1,3.89166522026062
2,1,4.5292400028556585
2,1,6.013497505337
2,1,4.0725110080093145
2,1,2.322493126615882
2,1,3.205534676089883
2,1,5.835647443309426
2,1,6.414440460503101
2,1,5.893513817340136
2,1,3.1279229652136564
2,1,4.7539037093520164
2,1,5.938239857554436
2,1,5.179616715759039
2,1,6.254812927916646
2,1,5.017517300322652
2,1,2.4636040925979614
2,1,4.091513238847256
2,1,4.423220114782453
2,1,5.973923547193408
2,1,4.849763009697199
2,1,4.606626769527793
2,1,4.266382947564125
2,1,5.515229607000947
2,1,6.427070425823331
2,1,5.055429132655263
2,1,6.698608443140984
2,1,5.869858115911484
2,1,4.507516633719206
2,1,7.362734571099281
2,1,5.228316523134708
2,1,5.669530676677823
2,1,6.358599102124572
2,1,4.915398728102446
2,1,4.70738347992301
2,1,3.760085789486766
2,1,6.796354120597243
2,1,6.841858569532633
2,1,2.3927570320665836
2,1,6.367186304181814
2,1,4.188803721219301
2,1,6.024430638179183
2,1,6.935553899034858
2,1,4.848503058776259
2,1,5.285416150465608
2,1,2.9189864732325077
2,1,4.614426201209426
2,1,7.364161102101207
2,1,4.342726707458496
2,1,6.24423042498529
2,1,9.14592869952321
2,1,6.001914514228702
2,1,4.800683997571468
2,1,5.603266254067421
2,1,4.723318671807647
