Depth,Reeval_level,N_best,percentage,percentage_epsilon,Time(s)
2,1,6,,,1.4560403898358345
2,1,6,,,1.0255314093083143
2,1,6,,,1.7781324367970228
2,1,7,,,3.208944609388709
2,1,7,,,1.8175647035241127
2,1,7,,,1.8329229205846786
2,1,7,,,1.6700081136077642
2,1,7,,,1.6034523211419582
2,1,7,,,1.833208605647087
2,1,7,,,1.857083884999156
2,1,7,,,1.1783871483057737
2,1,7,,,1.8926045242697
2,1,7,,,1.1774175949394703
2,1,7,,,1.8649970591068268
2,1,7,,,1.399740507826209
2,1,7,,,1.0768594034016132
2,1,7,,,1.759538883343339
2,1,7,,,1.110876340419054
2,1,7,,,1.8879740554839373
2,1,7,,,1.8683916088193655
2,1,7,,,1.8618745766580105
2,1,7,,,1.171973168849945
2,1,7,,,1.3765184506773949
2,1,7,,,0.9476867131888866
2,1,7,,,1.7011913806200027
2,1,7,,,1.8021066673099995
2,1,7,,,1.6657495442777872
2,1,7,,,1.1417573280632496
2,1,7,,,1.7849054038524628
2,1,7,,,1.620105791836977
2,1,7,,,1.6752795837819576
2,1,7,,,1.103669824078679
2,1,7,,,1.8454938270151615
2,1,7,,,1.8386239409446716
2,1,7,,,1.715123737230897
2,1,7,,,1.6247781366109848
2,1,7,,,1.5848005432635546
2,1,7,,,1.8382511399686337
2,1,7,,,1.5959007069468498
2,1,7,,,1.8336102794855833
2,1,7,,,1.8857932779937983
2,1,7,,,1.7198190744966269
2,1,7,,,1.1689581964164972
2,1,7,,,0.9691026415675879
2,1,7,,,1.8180042561143637
2,1,7,,,1.5012479703873396
2,1,7,,,1.5738842450082302
2,1,7,,,1.5821993462741375
2,1,7,,,1.8158775009214878
2,1,7,,,1.8652231805026531
2,1,7,,,1.6150494683533907
2,1,7,,,1.8170910887420177
2,1,7,,,1.497184680774808
2,1,7,,,1.8268826771527529
2,1,7,,,1.535399079322815
2,1,7,,,0.8679673373699188
2,1,7,,,1.1533898916095495
2,1,7,,,1.16755872964859
2,1,7,,,0.9147700686007738
2,1,7,,,0.9256619866937399
2,1,7,,,1.1498273685574532
2,1,7,,,0.9416774958372116
2,1,7,,,0.8963682428002357
2,1,7,,,1.1263851895928383
2,1,7,,,0.9404218010604382
2,1,7,,,1.024731194600463
2,1,7,,,0.9395861979573965
2,1,7,,,0.9453270398080349
2,1,7,,,1.1206729002296925
2,1,7,,,0.9386216104030609
2,1,7,,,0.9188107550144196
2,1,7,,,1.0054472461342812
2,1,7,,,0.9325931277126074
2,1,7,,,1.4604171141982079
2,1,7,,,0.9526439942419529
2,1,7,,,0.9141293559223413
2,1,7,,,1.4157253298908472
2,1,7,,,1.0352195594459772
2,1,7,,,1.7628329060971737
2,1,8,,,3.1749780792742968
2,1,8,,,1.8562005646526814
2,1,8,,,1.8573467917740345
2,1,8,,,1.6518544591963291
2,1,8,,,1.514568854123354
2,1,8,,,1.8526339959353209
2,1,8,,,1.8452227730304003
2,1,8,,,1.1825366411358118
2,1,8,,,1.8208449091762304
2,1,8,,,1.1824200432747602
2,1,8,,,1.8533030524849892
2,1,8,,,1.398378198966384
2,1,8,,,1.0880707260221243
2,1,8,,,1.6896850187331438
2,1,8,,,1.1320563219487667
2,1,8,,,1.8736236430704594
2,1,8,,,1.8193719293922186
2,1,8,,,1.8267361260950565
2,1,8,,,1.1990837845951319
2,1,8,,,1.30825350061059
2,1,8,,,0.9573315531015396
